family,set_id,left,right,units,changed,helped,hurt,same_risk,estimand,source_observations_sha256
primary,primary_459b032d584a,hybrid,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,hybrid,energy,64,36,29,7,28,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,hybrid,energy,64,51,40,11,13,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5303e1fccdc7,hybrid,energy,64,58,58,0,6,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_58a05bddec17,hybrid,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_59152023723c,hybrid,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5e743138a0d1,hybrid,energy,64,4,4,0,60,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_6c830b5fb730,hybrid,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_705fa28644fa,hybrid,energy,64,3,3,0,61,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_78aa853a8dcb,hybrid,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8748e8c257a6,hybrid,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8bc97f489508,hybrid,energy,64,30,30,0,34,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_903cdd7eae0a,hybrid,energy,64,64,64,0,0,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_9688e435275c,hybrid,energy,64,43,40,3,21,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_98d1f6d8741d,hybrid,energy,64,43,43,0,21,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_a8226b7ab73c,hybrid,energy,64,64,63,1,0,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_abefa8b91ecd,hybrid,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_c3b87c54a36d,hybrid,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d0adb13a6bdf,hybrid,energy,64,3,3,0,61,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d82bcfdaeedc,hybrid,energy,64,40,25,15,24,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_da06c09aa41a,hybrid,energy,64,32,17,15,32,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_e3ec35ff3518,hybrid,energy,64,7,7,0,57,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_ec9365fcc9ef,hybrid,energy,64,63,51,12,1,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f52ef9bf6b5e,hybrid,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f948566cda47,hybrid,energy,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,ALL,hybrid,constant,1728,105,58,47,1623,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_019d7c31a48b,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_39fca70e9e59,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_459b032d584a,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_494f26df6416,hybrid,constant,64,33,22,11,31,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_52112c337d08,hybrid,constant,64,13,2,11,51,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5303e1fccdc7,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_58a05bddec17,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_59152023723c,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_5e743138a0d1,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_6c830b5fb730,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_705fa28644fa,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_78aa853a8dcb,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8748e8c257a6,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_8bc97f489508,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_903cdd7eae0a,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_9688e435275c,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_98d1f6d8741d,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_a8226b7ab73c,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_abefa8b91ecd,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_c3b87c54a36d,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d0adb13a6bdf,hybrid,constant,64,3,3,0,61,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_d82bcfdaeedc,hybrid,constant,64,24,13,11,40,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_da06c09aa41a,hybrid,constant,64,32,18,14,32,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_e3ec35ff3518,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_ec9365fcc9ef,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f52ef9bf6b5e,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
primary,primary_f948566cda47,hybrid,constant,64,0,0,0,64,retrospective_choice_change_and_risk_direction,9ed386af3e565cf6ed8b4cf6119bb9126795d5b67de8900f021e06860f45d4dd
